Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
166,0.334707,0.46585,0.459724,0.459013,0.852519,0.448058,
167,0.335933,0.4663,0.461111,0.456756,0.853184,0.447983,
168,0.334794,0.46956,0.461841,0.454,0.847843,0.45081,
169,0.33831,0.465509,0.461941,0.452491,0.843055,0.452474,
170,0.342581,0.463583,0.459746,0.453585,0.840835,0.448655,
171,0.340519,0.464775,0.459458,0.456967,0.84275,0.447709,
172,0.339864,0.461623,0.456529,0.458627,0.841832,0.447592,
173,0.335731,0.460999,0.459428,0.458509,0.837224,0.44674,
174,0.338773,0.460039,0.457792,0.457249,0.838071,0.446403,
175,0.335759,0.462283,0.45617,0.446776,0.835223,0.442677,
176,0.335759,0.461886,0.462859,0.451166,0.836402,0.444716,
177,0.337822,0.460101,0.462323,0.44739,0.836756,0.442374,
178,0.334536,0.464472,0.45934,0.445827,0.836522,0.442928,
179,0.335917,0.471233,0.465452,0.43437,0.835424,0.434766,
180,0.331861,0.473315,0.468771,0.434812,0.835531,0.434423,
181,0.329444,0.47384,0.471504,0.433346,0.83827,0.431882,
182,0.331015,0.476212,0.473807,0.433127,0.851432,0.436285,
183,0.332207,0.469646,0.470552,0.433537,0.854932,0.436898,
184,0.332546,0.471848,0.469134,0.43318,0.851403,0.433935,
185,0.337099,0.458237,0.463805,0.432541,0.845426,0.435608,
186,0.33926,0.463067,0.471208,0.43046,0.833799,0.438065,
187,0.334449,0.465253,0.473513,0.428906,0.834424,0.438453,
188,0.334103,0.466289,0.47083,0.425829,0.832194,0.43987,
189,0.338121,0.45697,0.463607,0.427535,0.835642,0.439877,
190,0.344586,0.452897,0.459198,0.426385,0.838072,0.43725,
191,0.341606,0.452561,0.46005,0.42608,0.832268,0.435739,
192,0.352151,0.450412,0.461404,0.42428,0.83712,0.433655,
193,0.339507,0.453889,0.45941,0.426399,0.830623,0.434945,
194,0.33576,0.454597,0.460658,0.427316,0.830011,0.432552,
195,0.329911,0.455709,0.460776,0.430999,0.823046,0.433382,
196,0.332765,0.460749,0.460163,0.432648,0.813195,0.435064,
197,0.331288,0.453611,0.453429,0.43194,0.832255,0.430984,
198,0.33822,0.458643,0.457149,0.431827,0.805562,0.435208,
199,0.336894,0.466038,0.460909,0.431366,0.802384,0.434385,
200,0.3362,0.462991,0.458019,0.430282,0.805758,0.434926,
201,0.334487,0.45999,0.460072,0.431792,0.806796,0.432211,
202,0.324341,0.455009,0.464471,0.43215,0.808299,0.433953,
