Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#3: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#4: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#5: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#6: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#7: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#8: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
67,0.329053,0.524794,0.420738,0.466496,0.69429,0.53914,0.884811,0.534209,0.294694,0.823756,0.815628,0.587775,0.0849601,0.30691,0.830909,0.163404,0.0107568,0.101515,0.545667,0.587047,0.609887,0.472431,0.253369,0.729906,
68,0.32883,0.524547,0.415285,0.46189,0.694564,0.543866,0.876976,0.530135,0.299771,0.823388,0.813134,0.589015,0.0847287,0.307165,0.830166,0.163171,0.00882907,0.0990951,0.544974,0.588806,0.611287,0.472015,0.254289,0.734117,
69,0.328801,0.524897,0.415264,0.457452,0.695385,0.5449,0.87558,0.533838,0.296458,0.825181,0.811245,0.590751,0.0897563,0.313071,0.801706,0.163268,0.00974104,0.0997242,0.544774,0.590281,0.612097,0.473012,0.253021,0.727638,
70,0.328211,0.524031,0.415329,0.454886,0.694767,0.548172,0.876259,0.539498,0.294809,0.825,0.813902,0.592312,0.090055,0.312835,0.801355,0.163583,0.00901233,0.0980855,0.547036,0.587766,0.611052,0.472611,0.25395,0.713222,
71,0.326589,0.523021,0.415066,0.46279,0.693843,0.541627,0.876819,0.535386,0.294937,0.826124,0.815899,0.588368,0.0904498,0.314271,0.798965,0.157999,0.0119052,0.101276,0.545428,0.585365,0.609794,0.473917,0.253778,0.71482,
72,0.322188,0.521871,0.415257,0.463113,0.693544,0.542018,0.876694,0.537088,0.291764,0.82544,0.819911,0.585846,0.0899574,0.314378,0.798614,0.163879,0.0114691,0.101482,0.544552,0.579186,0.60881,0.477803,0.253298,0.718428,
73,0.321852,0.524989,0.415791,0.46434,0.69367,0.53996,0.875769,0.531392,0.297126,0.827869,0.816234,0.580239,0.0905125,0.314657,0.796309,0.163535,0.0110338,0.093959,0.542753,0.57998,0.603265,0.484186,0.25234,0.721898,
74,0.31893,0.525038,0.415025,0.463831,0.69397,0.540106,0.875489,0.521235,0.30334,0.829695,0.811688,0.57592,0.0873506,0.313706,0.790622,0.163696,0.0114769,0.100123,0.539895,0.579623,0.601096,0.48617,0.25388,0.722871,
75,0.319426,0.526764,0.416279,0.465226,0.696976,0.539184,0.873984,0.52583,0.292656,0.827727,0.808858,0.57404,0.0892287,0.316385,0.787558,0.163826,0.0120465,0.0930051,0.539054,0.584633,0.597058,0.491854,0.252883,0.728231,
76,0.318923,0.526247,0.418143,0.465719,0.69774,0.539612,0.876315,0.526712,0.294973,0.826097,0.807369,0.576531,0.0908222,0.31297,0.78071,0.163278,0.012832,0.0978267,0.53405,0.57888,0.602531,0.488866,0.252525,0.729508,
77,0.318619,0.525098,0.419343,0.466017,0.699421,0.539759,0.880632,0.524592,0.301403,0.825903,0.804154,0.575009,0.0910706,0.312539,0.781416,0.164131,0.011109,0.101633,0.528271,0.571441,0.609661,0.48789,0.25465,0.729417,
78,0.317386,0.526095,0.415968,0.465406,0.697976,0.539954,0.878505,0.523078,0.298856,0.825155,0.795763,0.57478,0.0900962,0.312521,0.77989,0.164166,0.0114368,0.103352,0.524093,0.571227,0.609881,0.486704,0.256411,0.728218,
79,0.318971,0.524535,0.415137,0.466358,0.69787,0.53957,0.878144,0.521397,0.298959,0.823371,0.794365,0.574402,0.08989,0.308524,0.780415,0.163608,0.0112053,0.100857,0.531313,0.573288,0.613245,0.489198,0.245822,0.72927,
80,0.321191,0.523527,0.415763,0.465115,0.704037,0.541569,0.881993,0.519235,0.304448,0.817523,0.793154,0.572482,0.0846557,0.310831,0.781727,0.163429,0.0116298,0.100312,0.534716,0.573482,0.610429,0.48901,0.251426,0.729352,
81,0.321775,0.525393,0.420719,0.465835,0.7029,0.541981,0.881534,0.522018,0.304313,0.815739,0.795183,0.573594,0.0822662,0.311814,0.783815,0.164021,0.0108967,0.101402,0.532153,0.572216,0.609641,0.489664,0.250557,0.730208,
82,0.326958,0.525133,0.418554,0.46675,0.700181,0.540915,0.883331,0.519604,0.308195,0.81787,0.793776,0.570657,0.0841081,0.309029,0.782018,0.163987,0.0109388,0.100125,0.525809,0.573242,0.610865,0.487428,0.246855,0.731762,
83,0.329844,0.525715,0.41715,0.466772,0.698938,0.539399,0.882966,0.519406,0.308699,0.818708,0.795344,0.572533,0.0897854,0.31355,0.782184,0.164639,0.0113619,0.10079,0.525544,0.578117,0.611118,0.488607,0.253708,0.728871,
84,0.333907,0.524976,0.417052,0.467915,0.700453,0.536937,0.883019,0.520158,0.308943,0.825427,0.79321,0.569104,0.0905805,0.313281,0.782836,0.163722,0.0103946,0.100718,0.525064,0.569772,0.609316,0.487912,0.253151,0.729213,
85,0.346462,0.524911,0.415171,0.465652,0.701756,0.536293,0.886983,0.523394,0.306595,0.828984,0.793077,0.575025,0.0904784,0.314381,0.785355,0.162508,0.0107515,0.100255,0.524938,0.562628,0.609566,0.488706,0.249811,0.728944,
86,0.345904,0.525312,0.414861,0.467884,0.694977,0.537254,0.889628,0.525839,0.308721,0.83403,0.793105,0.574839,0.0921056,0.314564,0.786786,0.164969,0.0111779,0.101512,0.525805,0.562329,0.609191,0.494388,0.247657,0.730772,
87,0.35002,0.525066,0.41502,0.466713,0.691117,0.537291,0.883428,0.52667,0.312119,0.837506,0.793109,0.576234,0.0910581,0.315469,0.785541,0.165547,0.0112505,0.101885,0.525335,0.564746,0.610463,0.489194,0.247774,0.729173,
88,0.348435,0.525507,0.414802,0.464341,0.689,0.535258,0.883396,0.527731,0.316699,0.836985,0.793679,0.574957,0.0978161,0.314888,0.784981,0.163858,0.0111271,0.0901272,0.521769,0.569501,0.609197,0.489336,0.248013,0.731815,
