Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#3: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#4: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#5: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#6: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#7: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#8: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
426,0.356192,0.419641,0.460048,0.373391,0.517028,0.549999,0.5518,0.51325,0.566944,0.858758,0.679165,0.49856, , , ,  , , ,  , , ,  , , , 
427,0.36041,0.413222,0.460661,0.36523,0.51857,0.549445,0.546965,0.51225,0.56525,0.856448,0.679542,0.495327, , , ,  , , ,  , , ,  , , , 
428,0.365039,0.412329,0.461049,0.373111,0.516234,0.548758,0.546705,0.508771,0.565197,0.852204,0.677313,0.490593, , , ,  , , ,  , , ,  , , , 
429,0.371461,0.409291,0.460264,0.378475,0.517885,0.548915,0.548292,0.513428,0.564978,0.84992,0.67775,0.490504, , , ,  , , ,  , , ,  , , , 
430,0.368989,0.403017,0.463896,0.386162,0.520644,0.548056,0.545499,0.528444,0.564603,0.8553,0.675212,0.484931, , , ,  , , ,  , , ,  , , , 
431,0.372796,0.402056,0.461919,0.38771,0.520777,0.548605,0.543287,0.531186,0.564068,0.863499,0.672584,0.484352, , , ,  , , ,  , , ,  , , , 
432,0.374801,0.399456,0.465626,0.384415,0.52709,0.548376,0.545329,0.533778,0.563848,0.8588,0.673109,0.484236, , , ,  , , ,  , , ,  , , , 
433,0.377591,0.397431,0.46124,0.385424,0.529164,0.549451,0.542473,0.533218,0.563001,0.865985,0.672116,0.484983, , , ,  , , ,  , , ,  , , , 
434,0.375528,0.393532,0.453699,0.385455,0.535077,0.547965,0.546649,0.532601,0.56278,0.86027,0.673731,0.484946, , , ,  , , ,  , , ,  , , , 
435,0.372162,0.388761,0.449226,0.39036,0.532909,0.548527,0.541388,0.530432,0.564736,0.857126,0.674267,0.484833, , , ,  , , ,  , , ,  , , , 
436,0.375722,0.384416,0.451808,0.386862,0.541225,0.539426,0.537079,0.529693,0.562885,0.856161,0.681231,0.485241, , , ,  , , ,  , , ,  , , , 
437,0.377462,0.385782,0.44961,0.398529,0.547109,0.537569,0.532586,0.529166,0.564417,0.855431,0.686271,0.48459, , , ,  , , ,  , , ,  , , , 
438,0.374808,0.38261,0.440387,0.399576,0.54825,0.536754,0.525607,0.527098,0.563738,0.853945,0.691075,0.484712, , , ,  , , ,  , , ,  , , , 
439,0.373007,0.383608,0.438318,0.400764,0.549761,0.538077,0.526046,0.531299,0.564533,0.85493,0.687184,0.485214, , , ,  , , ,  , , ,  , , , 
440,0.372366,0.383161,0.445658,0.404004,0.548832,0.539658,0.530635,0.532654,0.560382,0.854156,0.687038,0.484588, , , ,  , , ,  , , ,  , , , 
441,0.372247,0.380909,0.446079,0.399577,0.547662,0.537524,0.53275,0.533672,0.562743,0.855875,0.686369,0.485191, , , ,  , , ,  , , ,  , , , 
442,0.37598,0.377753,0.446053,0.409355,0.547534,0.537155,0.528139,0.5362,0.558862,0.855532,0.685114,0.48479, , , ,  , , ,  , , ,  , , , 
443,0.378409,0.371509,0.444477,0.408442,0.549978,0.536466,0.526452,0.534677,0.554299,0.855817,0.686534,0.484202, , , ,  , , ,  , , ,  , , , 
444,0.379071,0.370671,0.443281,0.408719,0.550708,0.534685,0.521133,0.532792,0.54982,0.856164,0.686485,0.48489, , , ,  , , ,  , , ,  , , , 
445,0.380444,0.366177,0.445619,0.409658,0.550535,0.534524,0.514267,0.527007,0.545861,0.855314,0.684195,0.484007, , , ,  , , ,  , , ,  , , , 
446,0.38241,0.364967,0.448399,0.406586,0.550508,0.532947,0.51047,0.52761,0.543011,0.85254,0.68292,0.483548, , , ,  , , ,  , , ,  , , , 
447,0.38399,0.364559,0.452252,0.408947,0.551605,0.530857,0.506985,0.519974,0.545536,0.85475,0.683579,0.487186, , , ,  , , ,  , , ,  , , , 
448,0.381183,0.363063,0.453708,0.411911,0.552469,0.528747,0.507064,0.522206,0.54497,0.855998,0.687344,0.489918, , , ,  , , ,  , , ,  , , , 
449,0.386687,0.365417,0.44682,0.408163,0.550606,0.525893,0.508535,0.526458,0.546852,0.855833,0.686331,0.490251, , , ,  , , ,  , , ,  , , , 
450,0.384671,0.365587,0.446575,0.40824,0.551975,0.520642,0.510785,0.528649,0.546471,0.855659,0.686532,0.506867, , , ,  , , ,  , , ,  , , , 
451,0.383743,0.365659,0.442844,0.409223,0.550326,0.520104,0.507597,0.533111,0.544416,0.855314,0.686127,0.507839, , , ,  , , ,  , , ,  , , , 
452,0.385189,0.366181,0.438025,0.409872,0.556284,0.525148,0.508222,0.539647,0.543057,0.855693,0.685946,0.50962, , , ,  , , ,  , , ,  , , , 
453,0.380911,0.365595,0.439829,0.409404,0.556932,0.521886,0.50861,0.541046,0.542016,0.855232,0.686399,0.508569, , , ,  , , ,  , , ,  , , , 
454,0.380369,0.36614,0.441584,0.410063,0.560196,0.519305,0.507359,0.538993,0.545507,0.855992,0.68663,0.512659, , , ,  , , ,  , , ,  , , , 
455,0.379994,0.36641,0.440261,0.410428,0.559197,0.521581,0.5072,0.538572,0.545816,0.855297,0.685907,0.516904, , , ,  , , ,  , , ,  , , , 
456,0.376915,0.365307,0.440688,0.409307,0.554179,0.522852,0.507729,0.538947,0.545339,0.855532,0.68699,0.517306, , , ,  , , ,  , , ,  , , , 
457,0.373249,0.364858,0.4409,0.408143,0.551173,0.523443,0.507333,0.54028,0.545675,0.856244,0.686377,0.516949, , , ,  , , ,  , , ,  , , , 
458,0.373895,0.364467,0.443002,0.411242,0.546049,0.531235,0.50846,0.540388,0.545102,0.855664,0.686023,0.518961, , , ,  , , ,  , , ,  , , , 
459,0.377523,0.365483,0.447143,0.414073,0.543065,0.535686,0.509604,0.546085,0.543449,0.851491,0.685199,0.514142, , , ,  , , ,  , , ,  , , , 
460,0.375346,0.363774,0.445658,0.416368,0.541764,0.535846,0.508706,0.542342,0.547193,0.856317,0.685392,0.510719, , , ,  , , ,  , , ,  , , , 
461,0.377765,0.364479,0.447619,0.415089,0.538622,0.534745,0.504471,0.540628,0.545809,0.856258,0.684319,0.511441, , , ,  , , ,  , , ,  , , , 
462,0.38307,0.364687,0.448021,0.415067,0.540275,0.536588,0.501646,0.540837,0.548413,0.856136,0.684816,0.514349, , , ,  , , ,  , , ,  , , , 
463,0.379577,0.365713,0.449618,0.416344,0.540348,0.537262,0.501395,0.540536,0.540309,0.858247,0.686616,0.514931, , , ,  , , ,  , , ,  , , , 
464,0.379957,0.365344,0.45213,0.416194,0.540253,0.536792,0.500229,0.540375,0.539953,0.862726,0.68912,0.516467, , , ,  , , ,  , , ,  , , , 
465,0.382983,0.362958,0.45187,0.41607,0.542857,0.537183,0.495651,0.543624,0.538709,0.863733,0.687385,0.520394, , , ,  , , ,  , , ,  , , , 
466,0.381081,0.362392,0.451232,0.415714,0.54721,0.537462,0.493257,0.542627,0.538109,0.868374,0.684216,0.520041, , , ,  , , ,  , , ,  , , , 
467,0.382546,0.365451,0.451079,0.415491,0.547726,0.537268,0.49069,0.539895,0.539052,0.869418,0.683489,0.522269, , , ,  , , ,  , , ,  , , , 
468,0.37139,0.371065,0.451626,0.412415,0.547949,0.537692,0.488255,0.54361,0.539608,0.866159,0.684671,0.521006, , , ,  , , ,  , , ,  , , , 
469,0.372139,0.369055,0.451833,0.413882,0.550203,0.537453,0.48871,0.544876,0.53453,0.870842,0.68932,0.518555, , , ,  , , ,  , , ,  , , , 
470,0.36998,0.370702,0.452969,0.413922,0.547391,0.538218,0.488004,0.545273,0.537022,0.870231,0.691775,0.514039, , , ,  , , ,  , , ,  , , , 
471,0.37246,0.375385,0.45425,0.413466,0.547364,0.538726,0.488889,0.544243,0.529299,0.863048,0.694235,0.506994, , , ,  , , ,  , , ,  , , , 
472,0.376065,0.366783,0.451686,0.416962,0.548535,0.537371,0.489454,0.547301,0.524305,0.863508,0.693451,0.503953, , , ,  , , ,  , , ,  , , , 
473,0.384463,0.353799,0.447749,0.416532,0.545639,0.53781,0.490283,0.547443,0.522511,0.862069,0.696959,0.499311, , , ,  , , ,  , , ,  , , , 
474,0.386613,0.353054,0.4485,0.41553,0.544683,0.53631,0.484688,0.549113,0.524789,0.858154,0.703438,0.496116, , , ,  , , ,  , , ,  , , , 
475,0.39063,0.348134,0.449801,0.415403,0.545736,0.536266,0.488712,0.551065,0.523872,0.870785,0.694941,0.50015, , , ,  , , ,  , , ,  , , , 
476,0.38977,0.346164,0.449875,0.417587,0.546029,0.536742,0.487938,0.550584,0.52914,0.874917,0.697609,0.498155, , , ,  , , ,  , , ,  , , , 
477,0.387421,0.347111,0.454999,0.409656,0.557182,0.538355,0.486651,0.551156,0.533408,0.876079,0.698939,0.503387, , , ,  , , ,  , , ,  , , , 
478,0.391741,0.347758,0.46224,0.408725,0.553421,0.532111,0.487683,0.546131,0.529846,0.878682,0.70054,0.504303, , , ,  , , ,  , , ,  , , , 
479,0.390566,0.347369,0.469382,0.407378,0.554679,0.536571,0.48444,0.544596,0.533512,0.874993,0.701957,0.498824, , , ,  , , ,  , , ,  , , , 
480,0.393182,0.347115,0.4719,0.404429,0.553582,0.537196,0.485889,0.547239,0.535357,0.87518,0.705009,0.502201, , , ,  , , ,  , , ,  , , , 
481,0.394358,0.345251,0.466672,0.408603,0.552849,0.538745,0.487203,0.550296,0.536853,0.86919,0.700655,0.498478, , , ,  , , ,  , , ,  , , , 
482,0.392852,0.343041,0.474949,0.408267,0.552771,0.541125,0.491188,0.554346,0.537932,0.875959,0.706753,0.504258, , , ,  , , ,  , , ,  , , , 
483,0.390263,0.345187,0.474376,0.410836,0.550789,0.544896,0.491964,0.549803,0.538177,0.88272,0.709796,0.509078, , , ,  , , ,  , , ,  , , , 
484,0.390325,0.344744,0.474636,0.405295,0.547814,0.548573,0.490821,0.546439,0.537457,0.886309,0.711638,0.513178, , , ,  , , ,  , , ,  , , , 
485,0.387346,0.347396,0.475658,0.406007,0.549079,0.551943,0.48673,0.542308,0.537732,0.879483,0.710062,0.512822, , , ,  , , ,  , , ,  , , , 
486,0.389026,0.353593,0.475758,0.410882,0.551731,0.543952,0.48619,0.536933,0.537546,0.880599,0.714365,0.516787, , , ,  , , ,  , , ,  , , , 
487,0.389651,0.358112,0.475953,0.411054,0.553783,0.541475,0.484408,0.535406,0.532608,0.876583,0.709213,0.508492, , , ,  , , ,  , , ,  , , , 
488,0.390145,0.355933,0.476916,0.411173,0.554398,0.536536,0.479826,0.539322,0.53545,0.879356,0.711337,0.510521, , , ,  , , ,  , , ,  , , , 
489,0.390148,0.358973,0.475472,0.412569,0.554424,0.538433,0.482707,0.537279,0.537184,0.880986,0.713252,0.507389, , , ,  , , ,  , , ,  , , , 
490,0.386076,0.379794,0.472392,0.40938,0.55429,0.539923,0.490877,0.537712,0.544958,0.883633,0.715746,0.509628, , , ,  , , ,  , , ,  , , , 
491,0.38751,0.382484,0.470633,0.415318,0.552244,0.53968,0.489709,0.533678,0.550303,0.888238,0.720897,0.511918, , , ,  , , ,  , , ,  , , , 
492,0.387787,0.381365,0.469976,0.41438,0.551393,0.539507,0.490867,0.524867,0.551091,0.886838,0.720751,0.512582, , , ,  , , ,  , , ,  , , , 
493,0.386515,0.382509,0.469404,0.416887,0.548719,0.538538,0.48952,0.515162,0.548207,0.888057,0.71862,0.510037, , , ,  , , ,  , , ,  , , , 
494,0.385059,0.379378,0.461112,0.413069,0.554148,0.540743,0.495503,0.517136,0.546543,0.883866,0.716698,0.514109, , , ,  , , ,  , , ,  , , , 
495,0.384476,0.379417,0.457063,0.400046,0.555183,0.53513,0.491903,0.518483,0.549706,0.882722,0.718091,0.514774, , , ,  , , ,  , , ,  , , , 
496,0.383776,0.384032,0.456537,0.39589,0.555801,0.536161,0.486805,0.520514,0.54905,0.880746,0.714833,0.512537, , , ,  , , ,  , , ,  , , , 
497,0.38613,0.383442,0.458383,0.393568,0.555585,0.536846,0.487439,0.522276,0.549889,0.879581,0.712711,0.513052, , , ,  , , ,  , , ,  , , , 
498,0.384828,0.382855,0.457828,0.39122,0.556354,0.538026,0.481769,0.525183,0.545156,0.881578,0.713573,0.513306, , , ,  , , ,  , , ,  , , , 
499,0.377734,0.386699,0.454854,0.392081,0.557701,0.536556,0.476312,0.52785,0.542911,0.878311,0.712595,0.512236, , , ,  , , ,  , , ,  , , , 
500,0.38124,0.380787,0.458349,0.391943,0.555618,0.533646,0.474967,0.532811,0.540189,0.881952,0.714177,0.509869, , , ,  , , ,  , , ,  , , , 
501,0.380632,0.38566,0.453353,0.39221,0.562118,0.53421,0.474914,0.532374,0.540036,0.878363,0.7151,0.509356, , , ,  , , ,  , , ,  , , , 
502,0.379775,0.377517,0.462705,0.393295,0.576982,0.53487,0.47261,0.537948,0.539357,0.874294,0.715792,0.50921, , , ,  , , ,  , , ,  , , , 
503,0.380656,0.377029,0.462009,0.392045,0.590153,0.535355,0.470481,0.540082,0.538135,0.870673,0.716245,0.50536, , , ,  , , ,  , , ,  , , , 
504,0.380165,0.380695,0.458191,0.394524,0.573211,0.53301,0.473013,0.535345,0.540473,0.867274,0.717495,0.503942, , , ,  , , ,  , , ,  , , , 
505,0.381666,0.377491,0.460302,0.396268,0.566177,0.533936,0.472338,0.53096,0.542333,0.868253,0.717633,0.504429, , , ,  , , ,  , , ,  , , , 
506,0.384214,0.388225,0.45945,0.395066,0.564497,0.535349,0.473489,0.531304,0.545003,0.872695,0.717533,0.50228, , , ,  , , ,  , , ,  , , , 
507,0.378311,0.379308,0.46213,0.400098,0.536927,0.528983,0.470276,0.531855,0.540176,0.871893,0.714967,0.504366, , , ,  , , ,  , , ,  , , , 
508,0.373512,0.377578,0.463788,0.400406,0.537332,0.528063,0.469799,0.530055,0.538158,0.855527,0.717331,0.508331, , , ,  , , ,  , , ,  , , , 
509,0.368302,0.378446,0.466473,0.399784,0.537329,0.528073,0.47392,0.531758,0.535283,0.858778,0.712157,0.511236, , , ,  , , ,  , , ,  , , , 
510,0.368831,0.37751,0.465278,0.400604,0.536773,0.532624,0.475877,0.52869,0.525274,0.859213,0.708421,0.510336, , , ,  , , ,  , , ,  , , , 
511,0.36667,0.377778,0.464575,0.401744,0.540817,0.535681,0.474941,0.529277,0.524799,0.85591,0.705267,0.511223, , , ,  , , ,  , , ,  , , , 
512,0.368626,0.38338,0.465402,0.402207,0.537063,0.536161,0.475591,0.528955,0.522362,0.855875,0.70407,0.510858, , , ,  , , ,  , , ,  , , , 
513,0.369211,0.391373,0.466288,0.395831,0.535526,0.539896,0.475356,0.528733,0.517432,0.85455,0.706275,0.51464, , , ,  , , ,  , , ,  , , , 
514,0.368404,0.392826,0.468741,0.397381,0.537412,0.541378,0.47826,0.529768,0.518604,0.853922,0.705941,0.516688, , , ,  , , ,  , , ,  , , , 
515,0.367412,0.392489,0.464297,0.400196,0.539451,0.54701,0.485186,0.527486,0.517771,0.852994,0.702717,0.516975, , , ,  , , ,  , , ,  , , , 
516,0.363396,0.395296,0.468908,0.399811,0.538585,0.547638,0.492201,0.521048,0.52357,0.85391,0.7037,0.516801, , , ,  , , ,  , , ,  , , , 
517,0.361861,0.394999,0.470094,0.400078,0.542068,0.550122,0.501423,0.516946,0.526645,0.852534,0.702447,0.517661, , , ,  , , ,  , , ,  , , , 
518,0.363667,0.398715,0.467904,0.400548,0.541576,0.561777,0.506529,0.517873,0.527543,0.850294,0.696196,0.516923, , , ,  , , ,  , , ,  , , , 
519,0.359578,0.396712,0.47362,0.401471,0.541923,0.560029,0.50599,0.518319,0.526067,0.851565,0.698467,0.516925, , , ,  , , ,  , , ,  , , , 
520,0.363023,0.396084,0.471531,0.398312,0.543912,0.562162,0.507906,0.518523,0.526208,0.847839,0.705435,0.516575, , , ,  , , ,  , , ,  , , , 
521,0.364459,0.394412,0.467229,0.399593,0.544315,0.563334,0.507629,0.518558,0.526458,0.848704,0.706074,0.517288, , , ,  , , ,  , , ,  , , , 
522,0.364539,0.394792,0.46286,0.400268,0.549117,0.558071,0.512817,0.518591,0.526247,0.847705,0.704585,0.516711, , , ,  , , ,  , , ,  , , , 
523,0.363523,0.395686,0.458811,0.408789,0.541598,0.570638,0.517905,0.516777,0.531399,0.848763,0.70528,0.517424, , , ,  , , ,  , , ,  , , , 
524,0.365806,0.394872,0.465134,0.416608,0.538602,0.581229,0.516278,0.516009,0.528318,0.85256,0.704627,0.517592, , , ,  , , ,  , , ,  , , , 
525,0.369093,0.396459,0.462189,0.409789,0.53889,0.584766,0.515949,0.514373,0.525346,0.856925,0.705794,0.516694, , , ,  , , ,  , , ,  , , , 
526,0.370446,0.396876,0.470542,0.412198,0.538669,0.587841,0.520626,0.51311,0.527928,0.857635,0.711521,0.517017, , , ,  , , ,  , , ,  , , , 
527,0.371795,0.394987,0.469182,0.415006,0.538887,0.588903,0.523796,0.503532,0.528274,0.857458,0.708886,0.513005, , , ,  , , ,  , , ,  , , , 
528,0.371273,0.3967,0.463083,0.413929,0.538588,0.590906,0.51854,0.501625,0.525906,0.85528,0.714595,0.518233, , , ,  , , ,  , , ,  , , , 
529,0.371734,0.397033,0.464139,0.413525,0.538486,0.592315,0.521053,0.49504,0.526531,0.854895,0.718979,0.516263, , , ,  , , ,  , , ,  , , , 
530,0.372025,0.398258,0.463803,0.413754,0.538522,0.589301,0.518486,0.497363,0.524895,0.855213,0.721856,0.515928, , , ,  , , ,  , , ,  , , , 
531,0.369066,0.396476,0.463178,0.424338,0.539876,0.592744,0.518535,0.500841,0.525046,0.854848,0.719581,0.511521, , , ,  , , ,  , , ,  , , , 
532,0.374941,0.399766,0.462154,0.437523,0.541213,0.599154,0.518574,0.500619,0.52552,0.855683,0.721883,0.521064, , , ,  , , ,  , , ,  , , , 
533,0.375492,0.399706,0.461996,0.44436,0.543175,0.602898,0.518202,0.501021,0.524952,0.85558,0.721967,0.517691, , , ,  , , ,  , , ,  , , , 
534,0.372568,0.399509,0.46276,0.442347,0.544869,0.602792,0.52108,0.508272,0.5255,0.855665,0.722195,0.517188, , , ,  , , ,  , , ,  , , , 
535,0.375278,0.400284,0.465126,0.443372,0.544358,0.602269,0.519145,0.509991,0.52592,0.855626,0.721655,0.51656, , , ,  , , ,  , , ,  , , , 
536,0.375284,0.399066,0.463584,0.444683,0.545636,0.603198,0.518433,0.511438,0.524398,0.856863,0.718764,0.511024, , , ,  , , ,  , , ,  , , , 
537,0.370493,0.396299,0.46366,0.444851,0.544571,0.597434,0.518122,0.514022,0.523746,0.855311,0.718258,0.510507, , , ,  , , ,  , , ,  , , , 
538,0.371159,0.39614,0.464697,0.445321,0.548657,0.600469,0.517164,0.511633,0.522881,0.854146,0.715124,0.517631, , , ,  , , ,  , , ,  , , , 
539,0.371824,0.396618,0.464137,0.444642,0.550813,0.602707,0.51304,0.512802,0.521744,0.85612,0.714987,0.516686, , , ,  , , ,  , , ,  , , , 
540,0.364608,0.39677,0.463993,0.444718,0.549878,0.603001,0.506508,0.514079,0.523682,0.855986,0.717434,0.517079, , , ,  , , ,  , , ,  , , , 
541,0.369934,0.396386,0.463722,0.445237,0.555136,0.605634,0.507311,0.51634,0.521397,0.853139,0.716819,0.527401, , , ,  , , ,  , , ,  , , , 
542,0.371097,0.396641,0.46393,0.444956,0.551901,0.603006,0.506001,0.515656,0.519698,0.855195,0.715407,0.532497, , , ,  , , ,  , , ,  , , , 
543,0.372232,0.396679,0.4637,0.444993,0.542937,0.595376,0.500759,0.512988,0.518977,0.855762,0.718683,0.533435, , , ,  , , ,  , , ,  , , , 
544,0.372112,0.397982,0.465396,0.444807,0.542154,0.591793,0.496955,0.515499,0.520017,0.853158,0.722386,0.52859, , , ,  , , ,  , , ,  , , , 
545,0.37581,0.399156,0.466399,0.444912,0.541463,0.591213,0.493323,0.513907,0.518315,0.852954,0.722736,0.526758, , , ,  , , ,  , , ,  , , , 
546,0.375493,0.400415,0.466096,0.444963,0.543113,0.59284,0.49253,0.514891,0.521621,0.851475,0.730527,0.521136, , , ,  , , ,  , , ,  , , , 
547,0.377916,0.400054,0.46592,0.445201,0.541725,0.595231,0.500619,0.518387,0.520683,0.851409,0.732139,0.520838, , , ,  , , ,  , , ,  , , , 
548,0.369126,0.397337,0.462329,0.444585,0.544513,0.596007,0.50313,0.520573,0.521266,0.848315,0.740346,0.509555, , , ,  , , ,  , , ,  , , , 
549,0.3723,0.399883,0.462398,0.442872,0.545795,0.595776,0.488862,0.517233,0.519259,0.848495,0.73971,0.506271, , , ,  , , ,  , , ,  , , , 
550,0.369906,0.397105,0.463482,0.444,0.548838,0.596629,0.49874,0.517717,0.527461,0.847112,0.740217,0.506176, , , ,  , , ,  , , ,  , , , 
551,0.370571,0.395636,0.471994,0.44476,0.54485,0.594899,0.502609,0.520944,0.5272,0.841516,0.739884,0.50702, , , ,  , , ,  , , ,  , , , 
552,0.371956,0.396681,0.473089,0.450508,0.550753,0.603334,0.500913,0.520057,0.524844,0.841846,0.739607,0.517325, , , ,  , , ,  , , ,  , , , 
553,0.367337,0.398588,0.471942,0.450735,0.553424,0.602617,0.497106,0.517525,0.52166,0.841856,0.740049,0.514547, , , ,  , , ,  , , ,  , , , 
554,0.366508,0.402106,0.468713,0.448611,0.54885,0.597411,0.491688,0.513549,0.517622,0.8424,0.740255,0.514966, , , ,  , , ,  , , ,  , , , 
555,0.358074,0.398157,0.469003,0.451402,0.547922,0.597,0.48501,0.510626,0.516563,0.846135,0.742096,0.511192, , , ,  , , ,  , , ,  , , , 
556,0.359674,0.397773,0.470801,0.456674,0.549913,0.600109,0.485696,0.509118,0.51636,0.840233,0.745761,0.510579, , , ,  , , ,  , , ,  , , , 
557,0.358587,0.39758,0.468209,0.456472,0.548478,0.59886,0.492037,0.509386,0.515031,0.839438,0.740098,0.503287, , , ,  , , ,  , , ,  , , , 
558,0.355825,0.401648,0.465919,0.451317,0.547172,0.589866,0.49153,0.510184,0.516296,0.83681,0.743207,0.505078, , , ,  , , ,  , , ,  , , , 
559,0.365229,0.400535,0.472419,0.449509,0.546497,0.589268,0.495607,0.509118,0.515575,0.840854,0.740077,0.50346, , , ,  , , ,  , , ,  , , , 
560,0.367308,0.398588,0.469196,0.444828,0.543936,0.588581,0.498865,0.507445,0.514527,0.846405,0.73976,0.503433, , , ,  , , ,  , , ,  , , , 
561,0.368325,0.400286,0.468146,0.442831,0.542738,0.589088,0.497398,0.510207,0.515903,0.84106,0.740326,0.502605, , , ,  , , ,  , , ,  , , , 
562,0.367656,0.400293,0.471185,0.441428,0.544824,0.591078,0.508306,0.510252,0.517299,0.842018,0.740276,0.503936, , , ,  , , ,  , , ,  , , , 
563,0.370081,0.402585,0.475586,0.440926,0.541732,0.588909,0.494075,0.510894,0.518411,0.839859,0.744959,0.503478, , , ,  , , ,  , , ,  , , , 
564,0.366392,0.404183,0.472941,0.440896,0.540749,0.591082,0.487744,0.510983,0.519305,0.837491,0.746419,0.503197, , , ,  , , ,  , , ,  , , , 
565,0.364018,0.405288,0.469374,0.445074,0.533866,0.590599,0.50359,0.515984,0.522227,0.837256,0.743931,0.505051, , , ,  , , ,  , , ,  , , , 
566,0.372561,0.41109,0.476502,0.443733,0.531498,0.592932,0.514427,0.504384,0.515058,0.837409,0.742337,0.504502, , , ,  , , ,  , , ,  , , , 
567,0.375045,0.409187,0.474831,0.444483,0.530319,0.591766,0.510472,0.502713,0.511846,0.840647,0.740699,0.502842, , , ,  , , ,  , , ,  , , , 
568,0.372979,0.415622,0.478373,0.444865,0.530625,0.588942,0.523417,0.499325,0.511843,0.840314,0.739989,0.503781, , , ,  , , ,  , , ,  , , , 
569,0.371186,0.419188,0.480038,0.445034,0.529258,0.591693,0.52758,0.504287,0.504772,0.840012,0.741804,0.503118, , , ,  , , ,  , , ,  , , , 
570,0.371192,0.415341,0.476936,0.442673,0.526097,0.594328,0.517811,0.50024,0.50868,0.840261,0.749704,0.502856, , , ,  , , ,  , , ,  , , , 
571,0.371758,0.41568,0.480265,0.436945,0.529035,0.59551,0.514661,0.498649,0.508379,0.83934,0.742529,0.495491, , , ,  , , ,  , , ,  , , , 
572,0.37397,0.409011,0.481864,0.434295,0.529355,0.592364,0.51882,0.493305,0.50828,0.838465,0.740946,0.499255, , , ,  , , ,  , , ,  , , , 
573,0.374226,0.4113,0.481939,0.434356,0.530451,0.591038,0.515964,0.493869,0.506817,0.828768,0.739859,0.491256, , , ,  , , ,  , , ,  , , , 
574,0.374247,0.413342,0.481011,0.433923,0.529798,0.594677,0.51384,0.491715,0.504213,0.828494,0.745222,0.49279, , , ,  , , ,  , , ,  , , , 
575,0.373664,0.411134,0.480616,0.433963,0.526142,0.58754,0.524451,0.484711,0.497304,0.833249,0.750645,0.501943, , , ,  , , ,  , , ,  , , , 
576,0.377774,0.410985,0.482711,0.434327,0.527147,0.586785,0.530094,0.484888,0.497433,0.832343,0.751222,0.498007, , , ,  , , ,  , , ,  , , , 
577,0.376764,0.409772,0.482396,0.432743,0.52669,0.594956,0.527824,0.483663,0.496842,0.828323,0.750277,0.497396, , , ,  , , ,  , , ,  , , , 
578,0.375609,0.409066,0.482542,0.431137,0.526906,0.595778,0.519518,0.484921,0.496208,0.830582,0.757894,0.502858, , , ,  , , ,  , , ,  , , , 
579,0.377505,0.409924,0.481635,0.428143,0.53024,0.593143,0.515072,0.481725,0.497106,0.829635,0.757946,0.503994, , , ,  , , ,  , , ,  , , , 
580,0.375529,0.409468,0.478999,0.429591,0.526056,0.589976,0.515465,0.482426,0.496716,0.834452,0.757911,0.502758, , , ,  , , ,  , , ,  , , , 
581,0.377173,0.405212,0.472424,0.429716,0.524302,0.589749,0.510163,0.478905,0.496488,0.833201,0.755772,0.495279, , , ,  , , ,  , , ,  , , , 
582,0.376908,0.404503,0.46792,0.432459,0.528381,0.595372,0.508386,0.473785,0.497174,0.837995,0.753371,0.496738, , , ,  , , ,  , , ,  , , , 
583,0.377321,0.402333,0.469385,0.428357,0.52849,0.590786,0.508546,0.475389,0.496142,0.840309,0.754506,0.500519, , , ,  , , ,  , , ,  , , , 
584,0.377758,0.403896,0.472116,0.425878,0.529791,0.590895,0.507899,0.472374,0.492705,0.839748,0.7535,0.502132, , , ,  , , ,  , , ,  , , , 
585,0.374955,0.39803,0.467546,0.423463,0.524148,0.590406,0.508611,0.475278,0.491721,0.841834,0.75436,0.503156, , , ,  , , ,  , , ,  , , , 
586,0.376935,0.404005,0.471823,0.424048,0.525891,0.596075,0.508812,0.475742,0.49363,0.841963,0.755,0.503187, , , ,  , , ,  , , ,  , , , 
587,0.379449,0.399913,0.465467,0.423752,0.522361,0.596354,0.509105,0.476555,0.492251,0.841904,0.754092,0.497895, , , ,  , , ,  , , ,  , , , 
588,0.379842,0.40897,0.476292,0.42373,0.522162,0.598427,0.511514,0.484629,0.487294,0.84041,0.754299,0.497199, , , ,  , , ,  , , ,  , , , 
589,0.379506,0.408319,0.473179,0.420639,0.520564,0.604734,0.511719,0.4825,0.487674,0.838127,0.755723,0.496244, , , ,  , , ,  , , ,  , , , 
590,0.379327,0.407815,0.476529,0.422786,0.521309,0.596856,0.51121,0.480796,0.489193,0.838991,0.756962,0.493463, , , ,  , , ,  , , ,  , , , 
591,0.380077,0.409168,0.477495,0.418146,0.520053,0.597888,0.510117,0.488796,0.490709,0.840557,0.754912,0.490468, , , ,  , , ,  , , ,  , , , 
